zone_id,total_emergencies,average_response_duration_minutes,delayed_ratio_percent,average_congestion_index,average_route_risk_score,average_nearby_hospital_load,recommended_standby_ambulances
Zone_4523_-8210,3,12.0,33.3,2.0,2.5,0.3,2
Zone_4524_-8205,3,23.5,66.7,1.33,1.83,0.7,2
Zone_4524_-8210,3,11.7,33.3,2.33,3.33,0.0,2
Zone_4517_-8211,3,15.2,33.3,1.0,1.0,0.3,2
Zone_4520_-8205,3,18.0,100.0,2.0,2.0,0.3,2
Zone_4519_-8215,3,15.7,66.7,1.67,1.67,0.7,2
Zone_4518_-8204,3,21.9,100.0,1.67,1.67,2.0,2
Zone_4521_-8206,3,22.6,100.0,1.67,2.67,0.7,2
Zone_4521_-8212,3,14.4,33.3,1.67,2.67,0.3,2
Zone_4522_-8214,3,14.0,33.3,2.33,2.83,0.7,2
Zone_4520_-8215,3,20.1,100.0,1.67,1.67,0.7,2
Zone_4524_-8211,3,20.1,33.3,2.33,2.33,1.0,2
Zone_4524_-8204,3,16.6,66.7,1.67,1.67,0.0,2
Zone_4524_-8206,3,20.1,100.0,1.67,1.67,1.0,2
Zone_4525_-8203,3,33.1,100.0,1.0,1.0,0.7,2
Zone_4525_-8207,3,14.0,33.3,2.33,2.33,1.3,2
Zone_4531_-8205,3,44.5,66.7,2.33,2.33,0.3,2
Zone_4531_-8204,3,17.2,66.7,1.33,1.33,0.0,2
Zone_4530_-8213,3,27.1,66.7,3.0,3.67,1.0,3
Zone_4530_-8215,3,24.2,100.0,2.67,2.67,1.7,3
Zone_4531_-8212,3,12.6,33.3,2.33,2.33,0.3,2
Zone_4529_-8204,3,23.4,100.0,1.67,1.67,0.0,2
Zone_4528_-8216,3,18.8,66.7,1.33,1.33,0.7,2
Zone_4528_-8206,3,9.0,0.0,2.0,3.0,0.7,1
Zone_4532_-8215,3,38.9,100.0,2.0,2.5,0.0,2
Zone_4517_-8204,2,26.2,100.0,1.5,1.5,0.0,2
Zone_4517_-8209,2,17.6,100.0,2.5,2.5,1.0,2
Zone_4519_-8211,2,34.4,100.0,2.0,2.0,0.0,2
Zone_4531_-8203,2,28.6,100.0,1.5,1.5,1.0,2
Zone_4534_-8214,2,27.8,100.0,1.5,1.5,0.5,2
Zone_4531_-8215,2,28.4,100.0,2.5,4.0,0.0,2
Zone_4532_-8207,2,36.4,100.0,1.0,1.0,0.0,2
Zone_4528_-8209,2,5.1,0.0,3.0,3.0,1.5,2
Zone_4526_-8205,2,22.5,50.0,2.0,2.0,0.5,2
Zone_4525_-8208,2,6.4,0.0,2.0,3.0,0.5,1
Zone_4529_-8214,2,22.7,50.0,2.0,3.5,0.5,2
Zone_4526_-8203,2,22.6,100.0,3.5,4.25,1.5,3
Zone_4532_-8208,2,13.2,50.0,1.5,2.25,0.0,2
Zone_4533_-8209,2,15.4,50.0,3.0,3.0,0.5,3
Zone_4529_-8216,2,22.4,100.0,2.5,2.5,0.5,2
Zone_4534_-8206,2,31.4,50.0,2.5,4.0,0.5,2
Zone_4534_-8211,2,39.3,100.0,2.5,2.5,1.5,2
Zone_4533_-8216,2,22.6,50.0,2.0,3.5,0.0,2
Zone_4521_-8208,2,14.2,0.0,1.5,2.25,0.0,1
Zone_4519_-8212,2,14.2,50.0,2.0,2.0,0.0,2
Zone_4517_-8206,2,31.6,100.0,1.5,2.25,0.5,2
Zone_4519_-8202,2,25.9,100.0,1.0,1.75,0.5,2
Zone_4519_-8216,2,13.2,0.0,1.0,1.0,0.0,1
Zone_4522_-8207,2,11.8,0.0,2.0,2.0,0.0,1
Zone_4522_-8215,2,14.4,50.0,2.5,2.5,0.0,2
Zone_4521_-8213,2,29.6,100.0,3.0,3.0,1.0,3
Zone_4521_-8211,2,26.5,100.0,1.5,1.5,0.0,2
Zone_4524_-8209,2,14.4,50.0,1.0,1.0,0.0,2
Zone_4524_-8212,2,9.1,0.0,3.0,3.0,1.0,2
Zone_4525_-8202,2,16.4,100.0,1.5,1.5,0.0,2
Zone_4525_-8204,2,24.4,100.0,2.5,2.5,2.0,2
Zone_4525_-8206,1,11.1,0.0,1.0,2.5,0.0,1
Zone_4524_-8214,1,24.3,100.0,3.0,3.0,1.0,3
Zone_4523_-8206,1,44.2,100.0,3.0,3.0,1.0,3
Zone_4523_-8211,1,18.0,100.0,2.0,2.0,1.0,2
Zone_4522_-8205,1,14.5,0.0,2.0,5.0,0.0,1
Zone_4522_-8202,1,31.9,100.0,2.0,5.0,2.0,2
Zone_4521_-8216,1,25.9,100.0,2.0,2.0,0.0,2
Zone_4522_-8211,1,28.9,100.0,1.0,1.0,2.0,2
Zone_4521_-8202,1,26.4,100.0,2.0,3.5,1.0,2
Zone_4517_-8213,1,16.4,100.0,2.0,2.0,0.0,2
Zone_4517_-8215,1,22.8,100.0,3.0,3.0,0.0,3
Zone_4517_-8210,1,45.8,100.0,3.0,3.0,1.0,3
Zone_4517_-8205,1,19.9,100.0,1.0,4.0,2.0,2
Zone_4518_-8208,1,16.5,100.0,1.0,1.0,0.0,2
Zone_4518_-8216,1,41.4,100.0,1.0,4.0,0.0,2
Zone_4520_-8202,1,68.3,100.0,1.0,1.0,2.0,2
Zone_4517_-8214,1,29.1,100.0,1.0,1.0,0.0,2
Zone_4517_-8203,1,17.7,100.0,1.0,1.0,0.0,2
Zone_4517_-8207,1,19.8,100.0,1.0,1.0,0.0,2
Zone_4529_-8206,1,18.0,100.0,3.0,3.0,5.0,3
Zone_4528_-8203,1,23.7,100.0,1.0,1.0,0.0,2
Zone_4528_-8202,1,14.0,0.0,1.0,1.0,0.0,1
Zone_4527_-8211,1,11.8,0.0,1.0,3.0,0.0,1
Zone_4527_-8215,1,17.9,100.0,4.0,4.0,0.0,3
Zone_4530_-8202,1,12.2,0.0,2.0,2.0,0.0,1
Zone_4529_-8213,1,10.3,0.0,1.0,3.0,1.0,1
Zone_4530_-8216,1,13.8,0.0,1.0,4.0,0.0,1
Zone_4534_-8203,1,63.8,100.0,1.0,1.0,0.0,2
Zone_4534_-8205,1,19.1,100.0,3.0,3.0,1.0,3
Zone_4534_-8207,1,22.8,100.0,1.0,4.0,0.0,2
Zone_4534_-8210,1,32.6,100.0,3.0,3.0,1.0,3
Zone_4534_-8212,1,18.6,100.0,1.0,1.0,0.0,2
